PA_CIDPRI,Goiás,Mato Grosso do Sul,Mato Grosso,Distrito Federal,Total Frequency
H659,49.0,249.0,4.0,33.0,335.0
M624,36.0,6.0,267.0,24.0,333.0
S913,142.0,84.0,54.0,52.0,332.0
S623,218.0,87.0,20.0,7.0,332.0
K511,34.0,30.0,15.0,252.0,331.0
M419,25.0,43.0,196.0,64.0,328.0
G248,74.0,7.0,12.0,234.0,327.0
E107,226.0,22.0,4.0,74.0,326.0
D473,33.0,56.0,83.0,154.0,326.0
L089,94.0,145.0,56.0,30.0,325.0
C833,101.0,38.0,32.0,154.0,325.0
R18,192.0,54.0,25.0,52.0,323.0
S881,130.0,79.0,71.0,42.0,322.0
K073,293.0,0.0,1.0,26.0,320.0
C729,9.0,7.0,6.0,297.0,319.0
K861,67.0,12.0,10.0,229.0,318.0
T454,97.0,27.0,17.0,176.0,317.0
Z947,55.0,39.0,144.0,79.0,317.0
M968,10.0,93.0,213.0,0.0,316.0
M169,67.0,52.0,100.0,96.0,315.0
M752,61.0,80.0,157.0,16.0,314.0
M81,247.0,6.0,61.0,0.0,314.0
Z358,298.0,0.0,9.0,6.0,313.0
K295,136.0,35.0,10.0,132.0,313.0
F410,131.0,96.0,41.0,43.0,311.0
K829,96.0,3.0,210.0,1.0,310.0
Z768,9.0,125.0,124.0,51.0,309.0
Z100,190.0,0.0,3.0,116.0,309.0
I872,149.0,100.0,35.0,24.0,308.0
G802,100.0,63.0,93.0,50.0,306.0
S600,202.0,49.0,30.0,23.0,304.0
N040,73.0,44.0,18.0,168.0,303.0
D259,266.0,5.0,13.0,18.0,302.0
S619,80.0,188.0,8.0,26.0,302.0
K592,0.0,1.0,0.0,301.0,302.0
K137,210.0,62.0,22.0,7.0,301.0
K860,80.0,12.0,9.0,199.0,300.0
E781,131.0,33.0,17.0,117.0,298.0
I251,20.0,51.0,61.0,164.0,296.0
G998,40.0,0.0,6.0,250.0,296.0
N201,159.0,21.0,54.0,62.0,296.0
L700,222.0,33.0,31.0,9.0,295.0
E788,147.0,73.0,13.0,60.0,293.0
I209,227.0,10.0,17.0,39.0,293.0
A499,180.0,36.0,8.0,68.0,292.0
D509,145.0,21.0,5.0,121.0,292.0
G458,205.0,38.0,47.0,1.0,291.0
S925,185.0,92.0,9.0,5.0,291.0
G405,129.0,42.0,73.0,46.0,290.0
H010,277.0,6.0,5.0,2.0,290.0
H402,111.0,60.0,48.0,71.0,290.0
F100,148.0,33.0,18.0,90.0,289.0
D572,223.0,0.0,4.0,61.0,288.0
G64,158.0,2.0,1.0,127.0,288.0
F789,2.0,4.0,0.0,282.0,288.0
K040,0.0,0.0,106.0,181.0,287.0
O429,264.0,1.0,6.0,16.0,287.0
C169,127.0,65.0,66.0,29.0,287.0
I829,161.0,22.0,8.0,94.0,285.0
Z121,80.0,1.0,13.0,190.0,284.0
Z012,104.0,8.0,125.0,47.0,284.0
G832,11.0,40.0,15.0,216.0,282.0
D486,145.0,33.0,19.0,84.0,281.0
S460,51.0,1.0,1.0,225.0,278.0
A303,232.0,1.0,8.0,36.0,277.0
J158,106.0,40.0,57.0,73.0,276.0
F841,120.0,49.0,50.0,56.0,275.0
D649,137.0,27.0,45.0,66.0,275.0
M032,274.0,0.0,0.0,0.0,274.0
A309,14.0,17.0,225.0,18.0,274.0
S721,213.0,31.0,18.0,12.0,274.0
N309,29.0,223.0,2.0,19.0,273.0
F819,129.0,12.0,5.0,127.0,273.0
G719,10.0,1.0,257.0,5.0,273.0
C180,64.0,39.0,15.0,151.0,269.0
K40,4.0,7.0,30.0,227.0,268.0
